zip_code,asthma_ed_count,asthma_ed_count_moe,asthma_ed_rate,asthma_ed_rate_moe
60601,19,,51.8,26.185714285815
60604,18,,388.2,234.28660714655
60605,43,,29.1,9.483928571348
60606,19,,352.3,224.9285714326
60607,113,,76.0,14.016071428628502
60608,483,,60.9,4.6999999999295
60609,565,,85.9,6.042857142931
60610,175,,84.0,11.708035714326
60611,21,,15.2,7.595535714326
60612,632,,192.8,12.7991071428605
60613,107,,29.5,5.329464285768
60614,111,,24.9,4.322321428558
60615,369,,101.3,8.9803571429075
60616,185,,44.2,5.665178571395
60617,1080,,130.0,6.5464285713715
60618,327,,36.8,3.4410714285815005
60619,1068,,178.0,9.148214285721
60620,1113,,160.2,8.015178571442
60621,773,,213.5,12.8830357143495
60622,284,,74.7,7.805357142884
60623,1008,,112.0,6.0008928571865
60624,964,,253.6,13.680357142837
60625,257,,34.7,3.6508928571395
60626,262,,55.2,5.874999999952999
60628,1243,,175.9,8.308928571489
60629,751,,62.4,3.8607142856975
60630,186,,37.5,4.5741071428605
60631,53,,21.9,4.9937499999765
60632,335,,33.4,3.1473214285345
60633,32,,26.3,7.637500000070499
60634,279,,40.0,3.986607142931
60636,800,,196.5,11.6660714285815
60637,894,,182.5,10.197321428511
60638,165,,30.6,3.902678571442
60639,821,,87.5,5.2035714285345005
60640,349,,56.7,5.455357142837
60641,404,,57.0,4.741964285674
60642,53,,42.3,10.3232142857445
60643,491,,106.6,8.099107142931
60644,1166,,234.6,11.414285714279
60645,243,,52.4,5.5812500000705
60646,48,,19.8,4.825892857163
60647,510,,63.2,4.909821428652
60649,851,,184.4,10.5330357143025
60651,1208,,185.1,8.8964285714185
60652,255,,60.4,6.252678571489
60653,455,,152.1,11.7919642856505
60654,41,,83.6,34.03303571395
60655,34,,12.1,3.3991071428370003
60656,62,,23.7,5.0776785714655
60657,80,,19.6,4.238392857069
60659,171,,45.4,5.749107142884
60660,109,,32.1,5.5812500000705
60707,220,,55.0,6.16875
60827,490,,167.2,12.6732142857915
