zip_code,GEOID,HCSBH_2021-2022,HCSBH_2021-2022_moe,HCSBHP_2021-2022,HCSBHP_2021-2022_moe
,,"Behavioral health treatment (count of adults), 2021-2022",(90% margin of error),"Behavioral health treatment rate (% of adults), 2021-2022",(90% margin of error)
Rogers Park,1.0,3600.0,2380.2617914879997,49.81188652,23.258801679715
Jefferson Park,11.0,500.0,400.78901338490004,35.996216943,26.833910949440003
Forest Glen,12.0,200.0,223.10472987845003,42.74802593,28.946620840130002
Portage Park,15.0,1600.0,1586.1846473648,45.392527743,30.97833716208
Irving Park,16.0,3000.0,1927.2340666740001,66.575342639,21.68128851042
Dunning,17.0,1900.0,1768.0570022534998,53.57183304,34.62660310375
West Ridge,2.0,1400.0,1112.07111931265,27.161813788,21.52978423743
Hermosa,20.0,900.0,1271.75238192485,46.345146022,37.69105680501
Logan Square,22.0,3000.0,1870.3597512985,49.003728605,24.212280761305003
Humboldt Park,23.0,1100.0,1284.7477351744,44.519851731,34.591507425195005
West Town,24.0,5400.0,3247.992522642,57.37780444,24.628114372855
West Garfield Park,26.0,400.0,363.68873983680004,53.180470549,33.33859380852
Uptown,3.0,1500.0,981.3230241482499,21.384428551,13.918638423749499
Lincoln Square,4.0,2900.0,1865.4465468905003,84.429441329,14.999471761490998
Washington Park,40.0,400.0,261.24801414670003,62.397378655,28.313385889074997
Hyde Park,41.0,600.0,523.4004826539999,82.894954154,26.173466660389998
Woodlawn,42.0,1400.0,1739.452606381,82.165228735,26.582533246955002
North Center,5.0,1300.0,1292.24649654415,55.024655197,34.6683377901
Pullman,50.0,1900.0,3069.068308887,65.664617569,48.18293260501
South Deering,51.0,3100.0,4086.0334051669997,64.787092082,37.88450509389
Garfield Ridge,56.0,1400.0,1983.3189603675,89.11278278,21.0363733734
McKinley Park,59.0,1000.0,780.0001297599,59.696048039,33.353851856325
Lake View,6.0,7100.0,2441.1988403494997,60.746674448,13.2417533950625
Gage Park,63.0,2000.0,1743.4046173845002,47.717218806,27.14557853854
West Lawn,65.0,700.0,791.1781824359,39.742001343,31.924862103225003
Beverly,72.0,2100.0,2715.758033681,98.218770891,3.688774528586
Washington Heights,73.0,1200.0,1475.71405458505,75.107967019,29.797504257394998
Edgewater,77.0,3000.0,1698.839333639,61.419792888,19.52410313637
Near North Side,8.0,2300.0,1484.9108828323,38.12539324,24.478425679785
