community_area,GEOID,HCSHYT_2021-2022,HCSHYT_2021-2022_moe,HCSHYTP_2021-2022,HCSHYTP_2021-2022_moe
,,"Hypertension (count of adults), 2021-2022",(90% margin of error),"Hypertension rate (% of adults), 2021-2022",(90% margin of error)
Rogers Park,1.0,13700.0,4208.630089538,32.177739098,8.151799908609
Norwood Park,10.0,9400.0,2770.0579980815,32.83628215,8.4060731586825
Jefferson Park,11.0,6900.0,2573.565055194,27.920677805,9.597104749501499
Forest Glen,12.0,3700.0,1307.64147635345,27.399344012,8.36863805736
North Park,13.0,3300.0,1206.2794207065,23.817396641,9.779921678096501
Albany Park,14.0,9500.0,4501.9906498175005,21.665671193,8.939543501763
Portage Park,15.0,12900.0,4575.8614169205,22.654096479,7.507070126076501
Irving Park,16.0,12500.0,5405.068387726001,33.309188594,11.0398140072395
Dunning,17.0,9200.0,4253.7376254905,26.013352189,10.622120442387999
Montclare,18.0,5700.0,2870.9539033175,32.752578305,14.211554368823
Belmont Cragin,19.0,14800.0,6529.789920962,32.245900865,11.5987074484505
West Ridge,2.0,11700.0,4093.8327943169998,21.260031888,7.0377968954895
Hermosa,20.0,4600.0,2489.088404908,23.101431751,10.923186845767
Avondale,21.0,6700.0,3314.8615477705,20.186757856,9.118746545650001
Logan Square,22.0,11200.0,4814.1893543099995,21.025906899,7.7232712100845
Humboldt Park,23.0,12400.0,5218.070115223,37.225638745,12.684165004567001
West Town,24.0,14600.0,4402.79576555,19.880207719,5.4348784777945
Austin,25.0,25700.0,9187.3477278135,37.076116301,10.8330457388195
West Garfield Park,26.0,6500.0,3569.3089683055,40.620441079,18.48072133383
East Garfield Park,27.0,4800.0,2085.2578890395002,31.539493312,12.1858652395235
Near West Side,28.0,11400.0,3825.8055072720003,23.795743113,7.194883356059
North Lawndale,29.0,8300.0,4223.528689544501,33.785441754,13.8846532912745
Uptown,3.0,11700.0,3483.6371788015,23.458021088,6.3041225234085
South Lawndale,30.0,15500.0,7219.0509892025,29.464977947,11.308727773434
Lower West Side,31.0,7900.0,4057.6056428145,27.782690903,12.268964169245
Loop,32.0,6800.0,2933.6656528619997,17.862773943,7.0205766110795
Near South Side,33.0,5300.0,2754.5377999509997,26.026166832,11.3127868400505
Armour Square,34.0,3300.0,1336.8503634685499,35.806175718,12.02947581283
Douglas,35.0,4200.0,2032.912946932,22.596947681,10.1499041575995
Oakland,36.0,2200.0,774.37065295415,36.087307538,12.1234453486755
Fuller Park,37.0,5100.0,2315.3274594135,48.715213945,16.1426951573475
Grand Boulevard,38.0,5700.0,1770.4559317444998,44.625520546,11.209689671978
Kenwood,39.0,8000.0,4832.891988687,56.404983981,16.227419806353
Lincoln Square,4.0,5700.0,2194.0712901485,16.830366105,6.158350738687
Washington Park,40.0,2800.0,865.2451505313,40.007059061,10.292141450906
Hyde Park,41.0,3700.0,1616.1165048406,18.334963587,7.757391653515
Woodlawn,42.0,4800.0,1871.9646804145002,25.432209667,10.449161289469
South Shore,43.0,8600.0,3311.8501015425,29.145184924,10.274314550703
Chatham,44.0,11800.0,4082.2646131119996,46.54817887,12.456698358818
Avalon Park,45.0,6100.0,2018.5135889625,40.755796375,15.7343883202835
South Chicago,46.0,5900.0,2302.97037026,51.341540689,16.969143501975
Burnside,47.0,1400.0,478.78175891210003,48.31717848,15.405119848880998
Calumet Heights,48.0,6700.0,3841.0895728905,57.060802559,19.82184462923
Roseland,49.0,6400.0,2467.8831506035,34.948809475,12.863681455170001
North Center,5.0,7100.0,2461.572254344,23.343607462,7.413612786807501
Pullman,50.0,3500.0,3101.9656392165,47.226970514,27.204698274145
South Deering,51.0,2700.0,1243.2792341704,17.875093317,9.449088681903499
East Side,52.0,5100.0,2204.5240483420002,28.048448635,12.5501375206725
West Pullman,53.0,8900.0,4451.317602144,54.294596349,17.891589849385
Riverdale,54.0,1500.0,487.18271191204997,9.544046615,4.878718592797
Hegewisch,55.0,2500.0,880.5485228239,38.997262387,13.333544366604
Garfield Ridge,56.0,9900.0,4136.171468079,36.610030461,12.3380342227975
Archer Heights,57.0,5100.0,2294.857084184,28.340837625,11.188491951938
Brighton Park,58.0,7100.0,2833.4532140355,25.776419538,10.129128932944
McKinley Park,59.0,3800.0,2471.9039411955,23.606620138,13.531541242023
Lake View,6.0,16600.0,3666.406646679,18.085070471,3.6195602684115
Bridgeport,60.0,4700.0,2408.3087712145,25.546510982,11.066591215085
New City,61.0,5600.0,3655.4889914165,20.926136628,12.172842794588
West Elsdon,62.0,4100.0,1354.5077066948,19.427684639,6.968194842357
Gage Park,63.0,6700.0,3015.3458299615,26.196800418,10.345722906449
Clearing,64.0,4600.0,1687.8044356075,28.105693213,9.4897330662015
West Lawn,65.0,9500.0,5011.0123960575,43.505831053,14.634602846738002
Chicago Lawn,66.0,12000.0,4911.2386565235,39.076124338,12.562877326314
West Englewood,67.0,8000.0,3029.2194947875,40.077201458,12.670531053418001
Englewood,68.0,9200.0,4460.467849008501,49.78135146,15.026686029222
Greater Grand Crossing,69.0,8600.0,2904.2620988815,35.505411113,10.960287504607
Lincoln Park,7.0,9100.0,3162.29965345,16.472889733,5.306473552247
Ashburn,70.0,6300.0,2390.440303671,21.445981112,9.273492344273501
Auburn Gresham,71.0,13500.0,5481.9679349155,45.83251389,13.1601350819715
Beverly,72.0,4300.0,1838.858180768,30.556319118,12.676874188223
Washington Heights,73.0,9300.0,2947.859938716,37.735636286,11.600997262953
Mount Greenwood,74.0,6600.0,3336.030372234,35.405508121,14.497479818787001
Morgan Park,75.0,8400.0,3608.923096177,53.390167674,13.908514955076
O'Hare,76.0,3200.0,1891.0988900825,31.148008224,14.353202976343
Edgewater,77.0,18000.0,4112.617293435001,32.346804596,6.316993357906
Near North Side,8.0,14700.0,4406.537242709001,18.826022107,5.073956726559
Edison Park,9.0,2600.0,1173.4074791425,33.219754161,11.974997576325
