Layer,Name,GEOID,HCSATH_2021-2022,HCSATH_2021-2022_moe
,,,"Adult asthma (count of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,4900.0,2904.498116408
Community area,Norwood Park,10,3000.0,1625.9889338147
Community area,Jefferson Park,11,600.0,325.2073188273
Community area,Forest Glen,12,1100.0,740.95782808635
Community area,Albany Park,14,3500.0,2073.3267721425
Community area,Portage Park,15,4100.0,3281.585009738
Community area,Irving Park,16,2800.0,2284.7833094800003
Community area,Dunning,17,4500.0,3128.2313400694998
Community area,Montclare,18,1400.0,786.5122182379
Community area,West Ridge,2,1800.0,1129.2002761347
Community area,Hermosa,20,1600.0,1008.6024803669501
Community area,Logan Square,22,7000.0,2902.9200590250002
Community area,West Town,24,8200.0,3589.4145517895
Community area,Austin,25,6900.0,4610.041462649
Community area,West Garfield Park,26,1200.0,741.7102802851
Community area,East Garfield Park,27,3200.0,1792.320989627
Community area,Near West Side,28,4500.0,4006.8098753445
Community area,North Lawndale,29,7600.0,5099.982947325
Community area,Uptown,3,3800.0,1972.1766647275
Community area,Loop,32,1300.0,927.14250734315
Community area,Douglas,35,1400.0,1008.6154634472
Community area,Oakland,36,500.0,343.09938348455
Community area,Fuller Park,37,2400.0,1730.6948570099999
Community area,Grand Boulevard,38,2000.0,1073.9297256593502
Community area,Kenwood,39,900.0,651.47556245765
Community area,Lincoln Square,4,3300.0,2122.175653325
Community area,Washington Park,40,800.0,456.4331109702
Community area,Hyde Park,41,900.0,706.0920092471
Community area,Woodlawn,42,2600.0,1942.7547339584999
Community area,South Shore,43,2500.0,1849.4395305854998
Community area,Chatham,44,2800.0,1702.757592368
Community area,Avalon Park,45,600.0,413.55246527630004
Community area,South Chicago,46,1300.0,616.11009153225
Community area,Burnside,47,600.0,543.61517367465
Community area,Hegewisch,55,500.0,291.19250747615
Community area,Brighton Park,58,1700.0,1347.7280551010501
Community area,McKinley Park,59,1200.0,899.4791525888
Community area,Lake View,6,10600.0,3439.814131887
Community area,Bridgeport,60,1000.0,850.01375907945
Community area,West Elsdon,62,500.0,358.71922421650004
Community area,Clearing,64,900.0,711.923699767
Community area,West Lawn,65,800.0,618.523434102
Community area,Chicago Lawn,66,3200.0,1854.25706788
Community area,West Englewood,67,2400.0,2160.8287883175
Community area,Englewood,68,2900.0,1910.973363075
Community area,Greater Grand Crossing,69,2600.0,1857.5047352855001
Community area,Lincoln Park,7,2400.0,1348.05311164125
Community area,Ashburn,70,1700.0,1052.3780174113501
Community area,Auburn Gresham,71,2200.0,1602.79013386695
Community area,Washington Heights,73,4200.0,2436.391794536
Community area,Mount Greenwood,74,1100.0,805.72512419595
Community area,Morgan Park,75,1400.0,1048.41593667195
Community area,Edgewater,77,5500.0,2872.535024842
Community area,Near North Side,8,3700.0,1982.8588278764998
