Layer,Name,GEOID,HCSDIA_2021-2022,HCSDIA_2021-2022_moe
,,,"Adult diabetes (count of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,2600.0,1698.131024275
Community area,Norwood Park,10,2400.0,1424.1970668534
Community area,Jefferson Park,11,1900.0,1599.46145264605
Community area,Forest Glen,12,1500.0,1103.6614933792
Community area,Albany Park,14,6300.0,3207.188527284
Community area,Portage Park,15,5200.0,2811.0536616015
Community area,Dunning,17,5500.0,3459.4202999510003
Community area,Montclare,18,4200.0,3245.9986707820003
Community area,Belmont Cragin,19,8000.0,5155.151703506001
Community area,West Ridge,2,6000.0,3182.2234269279998
Community area,Hermosa,20,2700.0,1780.4410682554999
Community area,Logan Square,22,4300.0,2949.1683965555
Community area,Humboldt Park,23,6000.0,3693.9661438155
Community area,West Town,24,2100.0,1266.59358941325
Community area,Austin,25,10000.0,5025.895427455001
Community area,West Garfield Park,26,2800.0,1641.38731441475
Community area,East Garfield Park,27,1300.0,946.5545194951999
Community area,Near West Side,28,4500.0,2634.6849931815
Community area,North Lawndale,29,2800.0,1682.3423631315
Community area,Uptown,3,3800.0,2361.2697121230003
Community area,South Lawndale,30,12400.0,6069.9169532225005
Community area,Lower West Side,31,5000.0,3513.5127410215
Community area,Loop,32,800.0,600.550618122
Community area,Near South Side,33,1000.0,783.5472422729
Community area,Armour Square,34,1200.0,775.1065940247
Community area,Douglas,35,1100.0,708.5227597497
Community area,Oakland,36,1100.0,589.2421827131
Community area,Fuller Park,37,2700.0,1467.72985909445
Community area,Grand Boulevard,38,2000.0,1109.74873693565
Community area,Kenwood,39,1500.0,1192.5460937257
Community area,Lincoln Square,4,3700.0,2372.440995953
Community area,Washington Park,40,800.0,492.44970985875
Community area,Woodlawn,42,1400.0,755.6975370658
Community area,South Shore,43,5100.0,2869.7053502915
Community area,Chatham,44,3200.0,1821.3915646814999
Community area,Avalon Park,45,1200.0,630.0767329591
Community area,South Chicago,46,1200.0,709.64034098475
Community area,Burnside,47,1000.0,593.46913636815
Community area,Calumet Heights,48,1300.0,615.5523735452
Community area,Roseland,49,2400.0,1727.2851896755
Community area,North Center,5,800.0,625.2920866335501
Community area,Pullman,50,2800.0,3096.1790447595
Community area,South Deering,51,2000.0,1177.31601574055
Community area,East Side,52,1200.0,860.30596323315
Community area,West Pullman,53,2600.0,1833.1538124585
Community area,Riverdale,54,800.0,482.11360879780005
Community area,Hegewisch,55,900.0,440.81609746685
Community area,Garfield Ridge,56,3000.0,2083.293894094
Community area,Archer Heights,57,2900.0,1653.8601121279999
Community area,Brighton Park,58,3600.0,1783.4696557124998
Community area,McKinley Park,59,2800.0,2176.8561142860003
Community area,Lake View,6,4700.0,2452.0906360475
Community area,New City,61,3200.0,2225.2473699575003
Community area,West Elsdon,62,1400.0,681.3930177116999
Community area,Gage Park,63,4000.0,2331.6327428415
Community area,Clearing,64,1600.0,859.3832188578
Community area,West Lawn,65,5500.0,2884.005408165
Community area,Chicago Lawn,66,8300.0,4631.1645817745
Community area,West Englewood,67,1500.0,938.65370104345
Community area,Englewood,68,2000.0,1141.69846133035
Community area,Greater Grand Crossing,69,2500.0,1516.3841611394
Community area,Ashburn,70,3700.0,2155.0894112825
Community area,Auburn Gresham,71,3600.0,2048.3907142615
Community area,Beverly,72,1500.0,1047.7674533424
Community area,Washington Heights,73,3300.0,1951.0287694345
Community area,Mount Greenwood,74,4500.0,3396.8955520325003
Community area,Morgan Park,75,3000.0,1477.3660592089
Community area,O'Hare,76,1200.0,993.5532481217001
Community area,Edgewater,77,8900.0,3844.6151648555
Community area,Near North Side,8,2800.0,1892.3809433689999
Community area,Edison Park,9,500.0,339.0943014746
