Layer,Name,GEOID,HCSDIAP_2021-2022,HCSDIAP_2021-2022_moe
,,,"Adult diabetes rate (% of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,6.1299524989,3.953103167034
Community area,Norwood Park,10,8.5093049364,4.9318937486385
Community area,Jefferson Park,11,8.8099700233,6.8320810010145
Community area,Forest Glen,12,11.359085406,7.5745882992955
Community area,Albany Park,14,14.339056125,6.8486054829955005
Community area,Portage Park,15,9.2567886835,4.8816449926895
Community area,Dunning,17,16.502408824,9.590136303149501
Community area,Montclare,18,23.972738082,15.421632250311001
Community area,Belmont Cragin,19,18.212107084,10.4277783521345
Community area,West Ridge,2,11.142722839,5.6995411035535
Community area,Hermosa,20,13.743130241,8.572436450018
Community area,Logan Square,22,8.0564909829,5.2649943038
Community area,Humboldt Park,23,18.206329296,10.2562744784045
Community area,West Town,24,2.890861681,1.7341483435255
Community area,Austin,25,14.322043618,6.908392639022
Community area,West Garfield Park,26,19.896964815,11.7910104600365
Community area,East Garfield Park,27,9.1615073962,6.5680991693625
Community area,Near West Side,28,9.4535678043,5.295358643225001
Community area,North Lawndale,29,11.692208915,7.042410756450999
Community area,Uptown,3,7.7366658167,4.5666799277225
Community area,South Lawndale,30,24.546644401,10.481409514478
Community area,Lower West Side,31,17.430002077,11.100107435046
Community area,Loop,32,2.2382221025,1.6148894355474999
Community area,Near South Side,33,5.1281032812,3.9094787137315
Community area,Armour Square,34,13.494655764,8.057669742955
Community area,Douglas,35,6.1724247563,4.1546599836630005
Community area,Oakland,36,17.10032078,9.121670131441
Community area,Fuller Park,37,26.015602976,13.110023157945001
Community area,Grand Boulevard,38,15.964902961,8.070084164306499
Community area,Kenwood,39,10.377789296,8.4436145120355
Community area,Lincoln Square,4,11.689479561,6.8777746330300005
Community area,Washington Park,40,10.850251001,6.6793057595705
Community area,Woodlawn,42,7.2753898147,4.342047666488
Community area,South Shore,43,17.292372662,8.9889746172065
Community area,Chatham,44,13.001881327,7.0977275149270005
Community area,Avalon Park,45,7.9986001851,4.885230600012
Community area,South Chicago,46,11.026378812,6.7776228081765
Community area,Burnside,47,35.109570302,16.0451894359015
Community area,Calumet Heights,48,11.409710591,6.636628449398501
Community area,Roseland,49,13.718020202,9.6125159540445
Community area,North Center,5,2.712054276,2.100010834166
Community area,Pullman,50,38.17045434,29.131338084240003
Community area,South Deering,51,13.321015966,8.3169467356045
Community area,East Side,52,6.6946192555,5.1731130964415
Community area,West Pullman,53,15.902699058,10.943131406781
Community area,Riverdale,54,5.0148659013,3.5758711598645
Community area,Hegewisch,55,13.773939786,7.253550058664
Community area,Garfield Ridge,56,11.137663469,7.3914452247755005
Community area,Archer Heights,57,16.386685353,8.685395258858499
Community area,Brighton Park,58,13.387126483,6.930340342527
Community area,McKinley Park,59,17.752179329,12.4711393928625
Community area,Lake View,6,5.2545667152,2.6234051525115
Community area,New City,61,11.782313892,8.114836588516
Community area,West Elsdon,62,6.9101896231,3.5684758399605
Community area,Gage Park,63,15.400523434,8.340794179039
Community area,Clearing,64,10.008518379,5.4521060855800005
Community area,West Lawn,65,24.861694235,11.492619836852
Community area,Chicago Lawn,66,27.571598448,12.696846025804499
Community area,West Englewood,67,7.9309321292,5.0521009829955
Community area,Englewood,68,11.929355322,6.92926606442
Community area,Greater Grand Crossing,69,10.693224776,6.2843652943365
Community area,Ashburn,70,13.043184346,7.8133884442985
Community area,Auburn Gresham,71,12.470034087,6.964138243240501
Community area,Beverly,72,10.942964868,7.586640771297
Community area,Washington Heights,73,13.456599272,7.7831630629585
Community area,Mount Greenwood,74,24.603523788,15.329597478583501
Community area,Morgan Park,75,19.706104702,9.3659723143595
Community area,O'Hare,76,11.506201864,9.308925018022
Community area,Edgewater,77,16.262917876,6.2420459494889995
Community area,Near North Side,8,3.6433123235,2.4073854797615
Community area,Edison Park,9,6.3265577212,4.4960215959085
