Layer,Name,GEOID,HDDRR_2017,HDDRR_2017_moe
,,,"Drug-related hospitalization rate (per 10,000 population), 2017",(90% margin of error)
Zip code,60605,60605,18.4,4.4482142857915
Zip code,60607,60607,44.9,7.9732142856975
Zip code,60608,60608,23.9,2.9374999999764997
Zip code,60609,60609,35.5,4.196428571489
Zip code,60610,60610,25.7,4.490178571371501
Zip code,60611,60611,7.5,2.6437499999294998
Zip code,60612,60612,115.4,10.3232142857445
Zip code,60613,60613,8.9,2.3919642857915
Zip code,60614,60614,7.9,2.0142857142555
Zip code,60615,60615,34.6,4.825892857163
Zip code,60616,60616,12.0,2.475892857116
Zip code,60617,60617,25.9,2.9374999999764997
Zip code,60618,60618,10.1,1.7205357142085003
Zip code,60619,60619,53.8,4.5741071428605
Zip code,60620,60620,46.1,4.0705357142555
Zip code,60621,60621,86.5,8.308928571489
Zip code,60622,60622,37.7,5.2035714285345005
Zip code,60623,60623,48.5,4.1544642857445
Zip code,60624,60624,131.3,9.9035714286285
Zip code,60625,60625,6.5,1.4687500000705
Zip code,60626,60626,21.1,3.3991071428370003
Zip code,60628,60628,53.9,4.406250000047001
Zip code,60629,60629,17.0,2.1401785714890003
Zip code,60630,60630,7.6,1.9723214285109998
Zip code,60631,60631,9.0,2.9794642857210003
Zip code,60632,60632,6.3,1.4687500000705
Zip code,60633,60633,10.8,4.616071428605
Zip code,60634,60634,14.0,2.2660714285580004
Zip code,60636,60636,85.0,7.553571428581501
Zip code,60637,60637,80.8,6.966071428652
Zip code,60638,60638,13.0,2.5598214286050003
Zip code,60639,60639,29.2,3.0633928572099998
Zip code,60640,60640,23.3,2.9374999999764997
Zip code,60641,60641,10.8,1.9723214285109998
Zip code,60642,60642,16.5,5.874999999952999
Zip code,60643,60643,23.9,3.608928571395
Zip code,60644,60644,126.2,8.434821428558001
Zip code,60645,60645,9.7,2.475892857116
Zip code,60646,60646,11.1,3.7767857142085
Zip code,60647,60647,22.6,2.895535714232
Zip code,60649,60649,66.6,5.874999999952999
Zip code,60651,60651,95.5,6.588392857115999
Zip code,60652,60652,12.0,2.8116071429075
Zip code,60653,60653,67.5,7.721428571395
Zip code,60654,60654,14.4,4.9937499999765
Zip code,60655,60655,12.7,3.5669642856505006
Zip code,60656,60656,4.4,2.05625
Zip code,60657,60657,5.8,1.762499999953
Zip code,60659,60659,9.1,2.6017857143495
Zip code,60660,60660,9.4,2.350000000047
Zip code,60707,60707,17.1,3.273214285768
Zip code,60827,60827,26.8,5.119642857210001
