Layer,Name,GEOID,EVC_2018,EVC_2018_moe
,,,"Evictions (evictions), 2018",(90% margin of error)
Community area,Rogers Park,1,104.188282,
Community area,Norwood Park,10,9.983109,
Community area,Jefferson Park,11,18.943539,
Community area,Forest Glen,12,5.037641,
Community area,North Park,13,10.908889,
Community area,Albany Park,14,54.109558,
Community area,Portage Park,15,55.982697,
Community area,Irving Park,16,49.972068,
Community area,Dunning,17,17.98394,
Community area,Montclare,18,18.028318,
Community area,Belmont Cragin,19,64.181335,
Community area,West Ridge,2,88.934247,
Community area,Hermosa,20,19.076715,
Community area,Avondale,21,32.990205,
Community area,Logan Square,22,41.046997,
Community area,Humboldt Park,23,99.44422,
Community area,West Town,24,58.958385,
Community area,Austin,25,386.355097,
Community area,West Garfield Park,26,84.007263,
Community area,East Garfield Park,27,72.077591,
Community area,Near West Side,28,79.195532,
Community area,North Lawndale,29,180.637726,
Community area,Uptown,3,97.864382,
Community area,South Lawndale,30,59.404263,
Community area,Lower West Side,31,26.888064,
Community area,Loop,32,66.09006,
Community area,Near South Side,33,52.294918,
Community area,Armour Square,34,6.999607,
Community area,Douglas,35,95.480937,
Community area,Oakland,36,33.552745,
Community area,Fuller Park,37,5.049862,
Community area,Grand Boulevard,38,100.965065,
Community area,Kenwood,39,72.90965,
Community area,Lincoln Square,4,20.002496,
Community area,Washington Park,40,90.004005,
Community area,Hyde Park,41,66.159253,
Community area,Woodlawn,42,137.822704,
Community area,South Shore,43,403.518812,
Community area,Chatham,44,250.377668,
Community area,Avalon Park,45,19.863624,
Community area,South Chicago,46,155.383227,
Community area,Burnside,47,3.990433,
Community area,Calumet Heights,48,15.973137,
Community area,Roseland,49,134.957738,
Community area,North Center,5,7.055628,
Community area,Pullman,50,14.069407,
Community area,South Deering,51,26.158166,
Community area,East Side,52,13.357395,
Community area,West Pullman,53,78.50588,
Community area,Riverdale,54,85.34479,
Community area,Hegewisch,55,27.634532,
Community area,Garfield Ridge,56,7.998696,
Community area,Archer Heights,57,6.028091,
Community area,Brighton Park,58,42.900113,
Community area,McKinley Park,59,9.03106,
Community area,Lake View,6,54.136732,
Community area,Bridgeport,60,17.08804,
Community area,New City,61,87.934694,
Community area,West Elsdon,62,3.990432,
Community area,Gage Park,63,28.46074,
Community area,Clearing,64,21.006974,
Community area,West Lawn,65,16.974311,
Community area,Chicago Lawn,66,134.415694,
Community area,West Englewood,67,92.832975,
Community area,Englewood,68,147.664213,
Community area,Greater Grand Crossing,69,186.368774,
Community area,Lincoln Park,7,40.361171,
Community area,Ashburn,70,26.4127,
Community area,Auburn Gresham,71,239.311177,
Community area,Beverly,72,8.076847,
Community area,Washington Heights,73,42.866308,
Community area,Mount Greenwood,74,14.021351,
Community area,Morgan Park,75,27.839437,
Community area,O'Hare,76,18.394093,
Community area,Edgewater,77,71.264772,
Community area,Near North Side,8,124.137979,
Community area,Edison Park,9,0.999501,
