Layer,Name,GEOID,HCSNV_2021-2022,HCSNV_2021-2022_moe
,,,"Neighborhood violence (counts of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,16300.0,4591.9337846339995
Community area,Norwood Park,10,4400.0,2123.5562598775
Community area,Jefferson Park,11,3200.0,1402.474635373
Community area,Forest Glen,12,800.0,448.97557790645
Community area,North Park,13,2600.0,2340.6062611049997
Community area,Albany Park,14,19300.0,7495.2366613145
Community area,Portage Park,15,10100.0,4789.834914473
Community area,Irving Park,16,8000.0,3372.8549064735003
Community area,Dunning,17,7100.0,3865.4494353055
Community area,Montclare,18,1700.0,1155.0730209998
Community area,Belmont Cragin,19,8000.0,3728.268842718
Community area,West Ridge,2,10100.0,5178.716553542
Community area,Hermosa,20,6900.0,3446.6206174609997
Community area,Avondale,21,6500.0,3581.1128424784997
Community area,Logan Square,22,15600.0,4064.474358245
Community area,Humboldt Park,23,15500.0,5770.539813997
Community area,West Town,24,20500.0,4938.010575694
Community area,Austin,25,36500.0,12066.132916502
Community area,West Garfield Park,26,11800.0,5094.1452843365005
Community area,East Garfield Park,27,10200.0,3597.2693119685
Community area,Near West Side,28,14800.0,4088.6966169035
Community area,North Lawndale,29,14200.0,4328.2801345945
Community area,Uptown,3,16600.0,5350.5195815435
Community area,South Lawndale,30,28500.0,9261.8121369235
Community area,Lower West Side,31,12300.0,4385.214935304
Community area,Loop,32,16900.0,4977.6449895410005
Community area,Near South Side,33,9700.0,3744.6721410035
Community area,Armour Square,34,3400.0,1480.8606289743
Community area,Douglas,35,7000.0,3645.385326898
Community area,Oakland,36,1600.0,600.6542750005
Community area,Fuller Park,37,5000.0,2333.0634829075
Community area,Grand Boulevard,38,5200.0,1769.1781756915
Community area,Kenwood,39,4000.0,1327.57364216085
Community area,Lincoln Square,4,4200.0,2008.5780005095
Community area,Washington Park,40,3800.0,1213.81014439335
Community area,Hyde Park,41,7900.0,2803.831286634
Community area,Woodlawn,42,7800.0,2969.5677283474997
Community area,South Shore,43,19000.0,6216.226191028
Community area,Chatham,44,13700.0,5511.859395896
Community area,Avalon Park,45,5900.0,4156.722396491
Community area,South Chicago,46,7500.0,4483.288647285
Community area,Burnside,47,800.0,241.19633167035002
Community area,Calumet Heights,48,2900.0,1791.1843153539999
Community area,Roseland,49,8600.0,3341.608829776
Community area,North Center,5,2800.0,1531.26084163605
Community area,Pullman,50,3000.0,2558.0583667905003
Community area,South Deering,51,5900.0,3085.4657748249997
Community area,East Side,52,9400.0,5455.2832867785
Community area,West Pullman,53,6100.0,3738.7230764765
Community area,Riverdale,54,6500.0,3448.054358665
Community area,Hegewisch,55,1200.0,600.2521907431
Community area,Garfield Ridge,56,3100.0,1884.463050064
Community area,Archer Heights,57,5400.0,2223.184252905
Community area,Brighton Park,58,12100.0,5167.6574549285
Community area,McKinley Park,59,1600.0,1091.60912173915
Community area,Lake View,6,24300.0,4081.8477059570005
Community area,Bridgeport,60,4400.0,2040.3327235445001
Community area,New City,61,19400.0,7273.517123442501
Community area,West Elsdon,62,4000.0,1973.5261213955002
Community area,Gage Park,63,8600.0,3322.5239238834997
Community area,Clearing,64,2700.0,1170.273548682
Community area,West Lawn,65,8900.0,4860.264500154
Community area,Chicago Lawn,66,12700.0,4963.186297408501
Community area,West Englewood,67,9600.0,3374.2601723985003
Community area,Englewood,68,14000.0,5098.726801966
Community area,Greater Grand Crossing,69,12600.0,4363.5405345665
Community area,Lincoln Park,7,13400.0,3525.463621771
Community area,Ashburn,70,7900.0,5829.3956973595
Community area,Auburn Gresham,71,19600.0,6923.7009335165
Community area,Beverly,72,2300.0,2032.0441855840002
Community area,Washington Heights,73,5300.0,2513.2929252024996
Community area,Mount Greenwood,74,1300.0,568.8419317609
Community area,Morgan Park,75,3800.0,2320.9421888765
Community area,O'Hare,76,700.0,507.21511712689994
Community area,Edgewater,77,8800.0,2977.466304911
Community area,Near North Side,8,27700.0,5947.189675262501
