Layer,Name,GEOID,HCSSPD_2021-2022,HCSSPD_2021-2022_moe
,,,"Serious psychological distress (count of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,7300.0,3398.8723424460004
Community area,Norwood Park,10,1700.0,1421.0400948285499
Community area,Jefferson Park,11,1300.0,753.6732034709499
Community area,Forest Glen,12,600.0,325.14061340285
Community area,Albany Park,14,6000.0,3999.0807041710004
Community area,Portage Park,15,3600.0,2204.3592932025
Community area,Irving Park,16,4600.0,2238.508151047
Community area,Dunning,17,3600.0,2467.3307059764998
Community area,Belmont Cragin,19,2600.0,1958.7979521075001
Community area,West Ridge,2,5000.0,2846.614947372
Community area,Hermosa,20,2000.0,1450.5986903058001
Community area,Avondale,21,3800.0,2806.912979955
Community area,Logan Square,22,6100.0,2962.983279774
Community area,Humboldt Park,23,2400.0,1608.0586078886
Community area,West Town,24,9500.0,4609.2405399495
Community area,Austin,25,12500.0,7626.2291809095
Community area,West Garfield Park,26,700.0,473.28129817325004
Community area,East Garfield Park,27,1600.0,1204.8609112484
Community area,Uptown,3,7000.0,2951.679607989
Community area,South Lawndale,30,6700.0,5017.2991132845
Community area,Lower West Side,31,2600.0,2097.019252958
Community area,Loop,32,3900.0,2609.7008730065004
Community area,Near South Side,33,1800.0,1277.20532701965
Community area,Armour Square,34,800.0,714.8856041222
Community area,Douglas,35,600.0,439.03250583849996
Community area,Fuller Park,37,2900.0,2031.189816999
Community area,Grand Boulevard,38,1800.0,1154.54720643885
Community area,Kenwood,39,900.0,644.39004155435
Community area,Lincoln Square,4,3500.0,1939.6534771460001
Community area,Washington Park,40,600.0,356.89056495085
Community area,Hyde Park,41,800.0,565.9508879027501
Community area,South Shore,43,6100.0,4471.2571233715
Community area,Chatham,44,4200.0,2608.933164831
Community area,North Center,5,2400.0,1712.5960075455002
Community area,South Deering,51,4800.0,4424.558296833499
Community area,Riverdale,54,3100.0,2518.937570471
Community area,Archer Heights,57,2300.0,1600.7826401370999
Community area,Brighton Park,58,900.0,609.42575309735
Community area,McKinley Park,59,1600.0,1068.67593702975
Community area,Lake View,6,11600.0,3154.313436386
Community area,West Elsdon,62,2900.0,2420.6600971105
Community area,Gage Park,63,4100.0,2209.2810950385
Community area,Clearing,64,1500.0,1030.33568393245
Community area,West Lawn,65,1800.0,1156.5421615016498
Community area,West Englewood,67,1600.0,1075.40959430835
Community area,Englewood,68,2700.0,2303.460817469
Community area,Greater Grand Crossing,69,3200.0,2054.4087922960002
Community area,Lincoln Park,7,4300.0,2320.070899657
Community area,Auburn Gresham,71,4000.0,2983.3938270115
Community area,O'Hare,76,1000.0,634.9912776473
Community area,Edgewater,77,4900.0,2050.422381875
Community area,Near North Side,8,6000.0,3378.8761667605004
