Layer,Name,GEOID,RBS_2017-2021,RBS_2017-2021_moe
,,,"Severely rent-burdened (% of renter-occupied housing units), 2017-2021",(90% margin of error)
Community area,Rogers Park,1,25.8416313257933,4.0783940368516
Community area,Norwood Park,10,23.9900617537714,8.887550332844928
Community area,Jefferson Park,11,11.8559920053873,5.454558510291185
Community area,Forest Glen,12,11.636035174635,11.456336800889039
Community area,North Park,13,18.9759956851595,9.177790359510682
Community area,Albany Park,14,17.554618169434,4.4615556060499095
Community area,Portage Park,15,20.4377114098055,4.697130442420573
Community area,Irving Park,16,16.6743558260788,3.6818551800852255
Community area,Dunning,17,18.6391410464194,6.447843669796243
Community area,Montclare,18,39.3833498326405,20.60874092429342
Community area,Belmont Cragin,19,27.9325018532034,5.035316664380135
Community area,West Ridge,2,25.0154278783197,4.11802512020954
Community area,Hermosa,20,21.4877508624134,6.359415549524509
Community area,Avondale,21,17.9606872681345,4.492025076293906
Community area,Logan Square,22,14.1599198500375,2.594181753547754
Community area,Humboldt Park,23,29.3543414571711,5.748716949488949
Community area,West Town,24,12.6898304610293,1.8026272926573272
Community area,Austin,25,35.88723714761,4.0150318656332535
Community area,West Garfield Park,26,38.485312220429,7.205465924735894
Community area,East Garfield Park,27,39.5405481436477,6.251585664554381
Community area,Near West Side,28,20.3695393227234,3.3944865384843124
Community area,North Lawndale,29,39.2381810277735,4.322901438686074
Community area,Uptown,3,21.1138657452691,3.106746080782143
Community area,South Lawndale,30,18.7325895428317,4.081852036367469
Community area,Lower West Side,31,19.7954533701845,4.330647641082472
Community area,Loop,32,17.0885470366013,5.430037193489475
Community area,Near South Side,33,13.0866602191334,9.480993989025501
Community area,Armour Square,34,15.3404675850104,5.020643354432419
Community area,Douglas,35,23.1140760713279,4.328761925619818
Community area,Oakland,36,22.7728818182202,10.304167450147471
Community area,Fuller Park,37,28.4924140880207,11.526974591209326
Community area,Grand Boulevard,38,26.9373590292619,4.867640321290456
Community area,Kenwood,39,27.3203297289781,6.673214212718495
Community area,Lincoln Square,4,18.6646628779059,3.827530383030159
Community area,Washington Park,40,35.2682144756064,7.994461115654603
Community area,Hyde Park,41,30.2606803755538,4.145735159057364
Community area,Woodlawn,42,32.6200372021565,5.094618376366402
Community area,South Shore,43,31.6511350287213,3.7693475252283872
Community area,Chatham,44,35.1910804122279,6.515254045273307
Community area,Avalon Park,45,43.3337372042129,17.163318533037025
Community area,South Chicago,46,28.6066318361428,6.478701657416858
Community area,Burnside,47,25.1665848024851,19.201842391052267
Community area,Calumet Heights,48,29.2325514118962,11.420109241551081
Community area,Roseland,49,37.6035000876479,6.843576978855685
Community area,North Center,5,10.9968958644069,3.4054484107585443
Community area,Pullman,50,23.4241970531878,8.601193268367798
Community area,South Deering,51,40.1354232745051,16.769119015979516
Community area,East Side,52,21.8821895852685,8.809486286177602
Community area,West Pullman,53,34.1394872623688,6.2434439475584345
Community area,Riverdale,54,22.4027042037447,7.400139281486121
Community area,Hegewisch,55,34.1292636872752,17.911235363133432
Community area,Garfield Ridge,56,17.8427773580845,12.10024743823087
Community area,Archer Heights,57,15.4909114356779,9.227315641609259
Community area,Brighton Park,58,22.9663298879486,6.443801314928162
Community area,McKinley Park,59,18.6982669872275,8.212687346453514
Community area,Lake View,6,15.0775851489363,1.782698931451806
Community area,Bridgeport,60,20.9511898156808,5.291036198304154
Community area,New City,61,24.8136243874806,6.011001679834495
Community area,West Elsdon,62,25.4661069530444,15.801520336593349
Community area,Gage Park,63,17.9904636225697,5.781449527064527
Community area,Clearing,64,21.8830848164635,12.959518648046013
Community area,West Lawn,65,20.4437506934475,8.64821407075124
Community area,Chicago Lawn,66,29.6009671160206,5.656806427871444
Community area,West Englewood,67,35.9078328797221,6.458597329032474
Community area,Englewood,68,33.5854109556396,5.900497364248544
Community area,Greater Grand Crossing,69,36.1428875044313,5.942526488012605
Community area,Lincoln Park,7,15.7372776299094,2.586575496970404
Community area,Ashburn,70,35.267701720154,9.378304077338138
Community area,Auburn Gresham,71,30.1348541647797,6.108190036542135
Community area,Beverly,72,13.8044873051972,23.054917210521662
Community area,Washington Heights,73,38.087310395162,9.940917855068676
Community area,Mount Greenwood,74,13.6053470753657,6.789541490785188
Community area,Morgan Park,75,30.7087326972522,11.525681416870025
Community area,O'Hare,76,27.2397318468619,10.076463187586668
Community area,Edgewater,77,20.4911933723069,2.9296057595703417
Community area,Near North Side,8,15.9993690834364,2.3687612924564188
Community area,Edison Park,9,24.6449482783427,16.374586841835818
